pktrate,pktperflow,Protocol,src,dst,label
0,29,1,1.0,11.0,0.0
511,15344,2,6.0,12.0,1.0
1,30,1,10.0,15.0,0.0
330,9919,2,15.0,16.0,0.0
274,8223,3,2.0,11.0,1.0
453,13615,3,3.0,15.0,0.0
304,9130,1,18.0,3.0,1.0
0,29,1,16.0,5.0,0.0
255,7651,2,14.0,12.0,1.0
0,29,1,10.0,13.0,0.0
0,29,1,12.0,1.0,0.0
0,29,1,1.0,13.0,0.0
0,29,1,10.0,15.0,0.0
0,29,1,16.0,10.0,0.0
313,9400,3,9.0,15.0,1.0
1,30,1,10.0,15.0,0.0
276,8304,3,12.0,13.0,1.0
437,13123,2,14.0,7.0,0.0
453,13615,3,3.0,15.0,0.0
447,13421,3,12.0,2.0,0.0
0,0,1,17.0,12.0,0.0
589,17686,2,0.0,6.0,0.0
0,29,1,1.0,11.0,0.0
305,9156,3,11.0,16.0,1.0
0,29,1,14.0,1.0,0.0
300,9016,2,14.0,14.0,1.0
326,9784,3,3.0,13.0,1.0
311,9333,2,0.0,11.0,1.0
1,30,1,2.0,11.0,0.0
0,29,1,16.0,6.0,0.0
0,29,1,2.0,11.0,0.0
223,6701,3,1.0,16.0,1.0
451,13532,3,0.0,15.0,0.0
280,8407,2,10.0,3.0,1.0
450,13526,3,12.0,15.0,0.0
0,0,3,12.0,15.0,1.0
0,29,1,14.0,3.0,0.0
270,8113,2,17.0,10.0,1.0
279,8378,2,14.0,10.0,1.0
0,29,1,15.0,15.0,1.0
0,29,1,12.0,17.0,0.0
279,8392,3,4.0,16.0,1.0
0,29,1,10.0,17.0,0.0
0,29,1,16.0,2.0,1.0
1,30,1,3.0,16.0,0.0
451,13538,3,1.0,11.0,0.0
455,13663,3,14.0,16.0,0.0
0,0,2,3.0,7.0,1.0
282,8475,1,3.0,15.0,1.0
0,0,2,10.0,11.0,0.0
0,0,3,12.0,13.0,1.0
451,13539,3,2.0,13.0,0.0
305,9168,1,0.0,15.0,1.0
0,29,1,16.0,10.0,0.0
311,9338,3,11.0,16.0,1.0
288,8641,3,0.0,16.0,1.0
1,30,1,2.0,15.0,0.0
448,13468,3,18.0,13.0,0.0
0,0,3,1.0,11.0,1.0
0,29,1,2.0,11.0,0.0
215,6453,3,13.0,11.0,1.0
326,9784,3,1.0,11.0,1.0
303,9095,1,12.0,15.0,1.0
446,13385,3,3.0,15.0,0.0
443,13311,3,10.0,11.0,0.0
0,29,1,1.0,13.0,0.0
311,9335,3,9.0,15.0,1.0
262,7889,1,16.0,3.0,1.0
305,9168,3,1.0,11.0,1.0
0,29,1,18.0,10.0,0.0
449,13478,3,14.0,16.0,0.0
446,13385,3,12.0,15.0,0.0
1,30,1,16.0,2.0,0.0
305,9179,2,15.0,13.0,1.0
119,3588,2,17.0,15.0,1.0
289,8683,2,17.0,10.0,1.0
284,8548,2,12.0,5.0,1.0
235,7070,3,2.0,13.0,1.0
451,13538,3,12.0,13.0,0.0
0,29,1,17.0,3.0,0.0
329,9897,2,12.0,5.0,0.0
0,29,1,16.0,13.0,0.0
0,29,1,1.0,12.0,0.0
296,8900,2,18.0,13.0,1.0
315,9456,3,9.0,15.0,1.0
1,30,1,16.0,2.0,0.0
298,8954,1,14.0,2.0,1.0
450,13529,3,0.0,16.0,0.0
1,30,1,17.0,13.0,0.0
314,9423,3,1.0,15.0,1.0
0,29,1,16.0,0.0,0.0
0,29,1,5.0,1.0,0.0
445,13370,2,2.0,12.0,0.0
0,29,1,12.0,2.0,0.0
277,8324,2,10.0,13.0,1.0
1,30,1,5.0,1.0,0.0
253,7597,3,1.0,16.0,1.0
446,13387,3,13.0,16.0,0.0
298,8961,1,10.0,15.0,1.0
215,6461,2,6.0,12.0,1.0
0,29,1,13.0,15.0,0.0
265,7957,2,16.0,2.0,0.0
304,9123,1,18.0,14.0,1.0
448,13468,3,12.0,13.0,0.0
274,8223,3,12.0,13.0,1.0
314,9439,3,1.0,15.0,1.0
1,30,1,17.0,13.0,0.0
443,13306,3,0.0,16.0,0.0
0,29,1,18.0,9.0,0.0
8,269,2,3.0,7.0,1.0
313,9400,3,9.0,15.0,1.0
569,17082,2,10.0,13.0,1.0
308,9245,3,1.0,15.0,1.0
0,29,1,2.0,15.0,0.0
0,28,1,16.0,0.0,0.0
0,29,1,16.0,13.0,0.0
267,8011,2,13.0,5.0,1.0
308,9245,3,1.0,15.0,1.0
305,9156,3,11.0,16.0,1.0
274,8223,3,3.0,13.0,1.0
142,4288,3,10.0,16.0,1.0
96,2900,3,12.0,15.0,1.0
310,9325,3,9.0,15.0,1.0
0,0,2,14.0,10.0,1.0
1,30,1,10.0,13.0,0.0
1,30,1,18.0,9.0,0.0
446,13388,3,3.0,15.0,0.0
274,8229,1,17.0,13.0,1.0
0,29,1,14.0,17.0,0.0
0,0,1,1.0,11.0,0.0
0,29,1,10.0,15.0,0.0
558,16756,2,14.0,10.0,1.0
311,9350,3,1.0,16.0,1.0
1,30,1,9.0,17.0,0.0
269,8071,1,1.0,11.0,1.0
447,13421,3,12.0,13.0,0.0
448,13457,3,3.0,13.0,0.0
311,9358,2,1.0,13.0,1.0
1,30,1,12.0,13.0,0.0
0,29,1,5.0,1.0,0.0
589,17676,2,0.0,6.0,0.0
111,3334,3,1.0,11.0,1.0
567,17012,2,12.0,8.0,0.0
455,13651,3,0.0,16.0,0.0
279,8370,2,0.0,4.0,1.0
446,13403,2,5.0,12.0,0.0
307,9217,2,6.0,12.0,1.0
449,13498,2,14.0,1.0,0.0
449,13475,3,2.0,16.0,0.0
445,13368,3,2.0,11.0,0.0
0,29,1,12.0,15.0,1.0
301,9057,1,18.0,11.0,1.0
0,29,1,16.0,2.0,0.0
285,8553,2,8.0,11.0,0.0
0,29,1,10.0,17.0,0.0
450,13529,3,0.0,16.0,0.0
323,9719,2,0.0,3.0,0.0
1,30,1,16.0,12.0,0.0
1,30,1,1.0,13.0,0.0
277,8313,2,17.0,13.0,1.0
303,9095,1,16.0,0.0,1.0
289,8676,2,0.0,3.0,1.0
277,8317,2,3.0,17.0,1.0
263,7901,3,16.0,13.0,1.0
1,30,1,18.0,11.0,0.0
310,9314,3,1.0,15.0,1.0
301,9054,2,7.0,13.0,0.0
448,13463,3,10.0,16.0,0.0
0,23,1,16.0,12.0,0.0
447,13438,3,15.0,16.0,0.0
451,13533,3,10.0,16.0,0.0
317,9531,2,14.0,3.0,0.0
113,3393,2,10.0,3.0,1.0
0,29,1,12.0,1.0,0.0
615,18466,2,1.0,17.0,1.0
125,3775,2,12.0,15.0,0.0
0,29,1,2.0,15.0,0.0
308,9269,3,11.0,16.0,1.0
1,30,1,1.0,11.0,0.0
0,29,1,16.0,0.0,0.0
302,9071,2,13.0,5.0,1.0
0,29,1,14.0,1.0,0.0
310,9314,3,1.0,15.0,1.0
1,30,1,2.0,1.0,0.0
0,0,2,18.0,3.0,1.0
303,9112,2,13.0,5.0,1.0
327,9833,2,13.0,2.0,0.0
255,7674,3,1.0,11.0,1.0
450,13526,3,12.0,15.0,0.0
1,30,1,10.0,13.0,0.0
288,8660,3,12.0,10.0,1.0
285,8556,2,7.0,13.0,1.0
1,30,1,2.0,11.0,1.0
0,29,1,18.0,13.0,0.0
443,13307,3,10.0,16.0,0.0
332,9973,2,14.0,1.0,0.0
214,6422,3,10.0,11.0,1.0
321,9641,2,12.0,6.0,0.0
448,13442,3,0.0,11.0,0.0
0,29,1,16.0,11.0,0.0
446,13409,3,12.0,13.0,0.0
0,29,1,16.0,10.0,0.0
0,29,1,1.0,11.0,0.0
97,2919,1,16.0,10.0,1.0
1,30,1,5.0,17.0,0.0
1,30,1,18.0,13.0,0.0
451,13536,3,2.0,16.0,0.0
451,13532,3,0.0,15.0,0.0
562,16881,2,1.0,3.0,1.0
223,6701,3,1.0,16.0,1.0
82,2468,2,18.0,13.0,1.0
111,3334,3,10.0,13.0,1.0
1,30,1,0.0,15.0,0.0
235,7070,3,2.0,11.0,1.0
1,30,1,18.0,10.0,0.0
257,7711,2,13.0,5.0,1.0
0,0,2,14.0,14.0,1.0
247,7431,3,1.0,15.0,1.0
0,29,1,18.0,7.0,0.0
0,29,1,10.0,15.0,1.0
300,9003,1,16.0,3.0,1.0
0,0,3,0.0,16.0,1.0
325,9760,2,3.0,10.0,0.0
0,0,2,18.0,12.0,1.0
0,29,1,3.0,16.0,0.0
582,17478,2,14.0,17.0,1.0
243,7304,2,16.0,10.0,0.0
281,8441,2,3.0,10.0,1.0
314,9424,2,7.0,3.0,1.0
327,9813,2,14.0,1.0,0.0
0,29,1,10.0,15.0,0.0
1,30,1,12.0,15.0,0.0
450,13526,3,12.0,15.0,0.0
254,7649,2,8.0,11.0,0.0
455,13663,3,13.0,16.0,0.0
289,8675,1,14.0,2.0,1.0
445,13375,2,5.0,11.0,0.0
294,8849,3,3.0,13.0,1.0
313,9391,2,8.0,11.0,0.0
321,9659,2,17.0,10.0,0.0
448,13468,3,12.0,13.0,0.0
294,8845,3,13.0,16.0,1.0
304,9123,1,12.0,17.0,1.0
298,8968,1,10.0,17.0,1.0
0,3,1,0.0,15.0,0.0
0,29,1,9.0,17.0,0.0
450,13504,2,16.0,6.0,0.0
450,13526,3,12.0,15.0,0.0
125,3775,2,0.0,15.0,0.0
0,0,2,0.0,5.0,0.0
307,9233,2,16.0,12.0,0.0
441,13241,2,17.0,4.0,0.0
445,13355,2,3.0,13.0,0.0
306,9180,3,4.0,16.0,1.0
1,30,1,3.0,17.0,0.0
1,30,1,1.0,13.0,0.0
293,8792,2,1.0,17.0,1.0
449,13482,2,13.0,10.0,0.0
1,30,1,16.0,0.0,0.0
235,7057,1,10.0,17.0,1.0
298,8968,2,5.0,0.0,0.0
0,29,1,16.0,10.0,0.0
445,13360,2,3.0,8.0,0.0
311,9350,3,1.0,16.0,1.0
0,29,1,13.0,15.0,0.0
287,8629,2,8.0,11.0,0.0
0,29,1,13.0,15.0,0.0
0,0,2,4.0,0.0,1.0
0,29,1,16.0,12.0,1.0
451,13532,3,12.0,13.0,0.0
0,29,1,18.0,7.0,0.0
312,9376,3,18.0,13.0,1.0
0,0,3,2.0,11.0,1.0
298,8950,2,4.0,0.0,0.0
0,29,1,16.0,2.0,0.0
0,29,1,14.0,1.0,0.0
595,17871,2,13.0,17.0,1.0
0,26,1,1.0,13.0,0.0
304,9140,2,17.0,10.0,0.0
280,8407,2,3.0,10.0,1.0
306,9208,3,17.0,13.0,1.0
300,9018,2,6.0,0.0,0.0
0,0,2,0.0,3.0,1.0
255,7674,2,18.0,10.0,1.0
278,8351,2,16.0,13.0,1.0
247,7429,1,2.0,13.0,1.0
298,8949,2,13.0,14.0,1.0
292,8763,1,12.0,15.0,1.0
451,13536,3,2.0,16.0,0.0
449,13494,3,14.0,16.0,0.0
536,16084,2,4.0,0.0,0.0
448,13442,3,18.0,13.0,0.0
354,10646,2,17.0,10.0,0.0
450,13529,3,10.0,13.0,0.0
295,8857,2,13.0,5.0,1.0
260,7818,2,0.0,3.0,0.0
1,30,1,12.0,17.0,0.0
0,1,1,7.0,17.0,0.0
314,9435,3,1.0,15.0,1.0
450,13527,3,0.0,15.0,0.0
260,7828,2,0.0,6.0,0.0
315,9457,3,9.0,15.0,1.0
331,9939,2,3.0,7.0,0.0
335,10073,2,5.0,0.0,0.0
1,30,1,5.0,17.0,0.0
449,13491,3,17.0,13.0,0.0
319,9586,2,13.0,2.0,0.0
1,30,1,18.0,10.0,0.0
287,8626,2,0.0,4.0,1.0
0,29,1,15.0,15.0,0.0
453,13593,3,2.0,16.0,0.0
304,9130,1,10.0,15.0,1.0
322,9684,2,14.0,10.0,0.0
0,29,1,18.0,9.0,0.0
310,9322,3,12.0,13.0,1.0
0,29,1,16.0,10.0,1.0
283,8505,2,5.0,11.0,1.0
447,13420,3,2.0,13.0,0.0
308,9243,3,1.0,16.0,1.0
444,13332,2,2.0,11.0,0.0
451,13539,3,12.0,13.0,0.0
0,0,3,9.0,15.0,1.0
574,17233,2,0.0,3.0,1.0
246,7398,3,1.0,16.0,1.0
450,13527,3,0.0,15.0,0.0
0,29,1,14.0,3.0,0.0
1,30,1,1.0,13.0,0.0
0,0,3,18.0,13.0,1.0
0,29,1,1.0,14.0,0.0
455,13671,3,2.0,11.0,0.0
307,9225,3,17.0,13.0,1.0
0,0,2,17.0,11.0,1.0
0,29,1,18.0,9.0,0.0
0,29,1,14.0,17.0,0.0
0,29,1,18.0,9.0,0.0
574,17233,2,2.0,16.0,1.0
1,30,1,16.0,0.0,0.0
332,9978,2,3.0,7.0,0.0
335,10054,1,0.0,11.0,1.0
0,29,1,17.0,3.0,0.0
1,30,1,1.0,16.0,0.0
451,13536,3,1.0,11.0,0.0
313,9404,3,11.0,16.0,1.0
1,30,1,18.0,11.0,0.0
264,7927,2,13.0,6.0,1.0
474,14232,2,3.0,17.0,0.0
296,8904,1,3.0,15.0,1.0
450,13500,2,14.0,12.0,0.0
319,9579,1,14.0,10.0,1.0
1,30,1,7.0,17.0,0.0
311,9338,3,11.0,16.0,1.0
1,30,1,2.0,11.0,0.0
430,12927,2,10.0,3.0,0.0
215,6453,3,10.0,13.0,1.0
1,30,1,13.0,1.0,0.0
0,29,1,2.0,11.0,0.0
0,29,1,16.0,10.0,0.0
267,8012,3,1.0,16.0,1.0
0,29,1,16.0,12.0,0.0
0,29,1,12.0,15.0,0.0
529,15881,2,13.0,6.0,1.0
450,13526,3,0.0,15.0,0.0
288,8641,3,0.0,16.0,1.0
1,58,1,18.0,15.0,1.0
442,13281,2,12.0,12.0,0.0
311,9332,2,18.0,12.0,1.0
1,30,1,15.0,17.0,0.0
