time;src;dst;protocol;length;time_tcp;time_previous;frame_length;label
0.000000;fe80::4811:aeff:fee3:c505;ff02::fb;MDNS;107;0;0;107;0
8.004.892;fe80::4811:aeff:fee3:c505;ff02::fb;MDNS;107;0;0;107;0
24.021.491;fe80::4811:aeff:fee3:c505;ff02::fb;MDNS;107;0;0;107;0
56.032.198;fe80::4811:aeff:fee3:c505;ff02::fb;MDNS;107;0;0;107;0
120.033.125;fe80::4811:aeff:fee3:c505;ff02::fb;MDNS;107;0;0;107;0
248.125.507;fe80::4811:aeff:fee3:c505;ff02::fb;MDNS;107;0;0;107;0
504.224.428;fe80::4811:aeff:fee3:c505;ff02::fb;MDNS;107;0;0;107;0
1.016.232.078;fe80::4811:aeff:fee3:c505;ff02::fb;MDNS;107;0;0;107;0
1.347.108.180;10.0.1.1;10.0.2.2;UDP;46;0;0;46;0
1.347.108.410;10.0.2.2;10.0.1.1;UDP;46;0;0;46;0
1.347.123.552;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.226.894;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.230.455;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.233.234;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.236.151;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.239.705;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.243.304;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.245.714;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.248.231;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.329.403;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.331.513;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.333.838;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.337.604;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.340.145;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.342.866;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.345.280;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.347.829;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.429.980;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.432.644;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.436.318;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.439.514;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.442.203;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.444.741;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.447.355;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.450.159;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.524.512;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.527.541;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.530.442;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.533.085;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.535.590;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.539.916;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.542.231;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.623.819;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
1.347.627.083;10.0.1.1;10.0.2.2;UDP;1042;0;0;1042;0
