src,dst,Protocol,pktrate,pktperflow,dur,dur_nsec,bytecount,pktcount
1.0,11.0,1,0,29,983,235000000,94178,961
6.0,12.0,2,511,15344,384,114000000,11954682,221383
10.0,15.0,1,1,30,821,243000000,78498,801
15.0,16.0,2,330,9919,98,622000000,2145912,32512
2.0,11.0,3,274,8223,287,579000000,90935340,87270
3.0,15.0,3,453,13615,161,864000000,78179374,73339
18.0,3.0,1,304,9130,330,982000000,104162488,99964
16.0,5.0,1,0,29,802,940000000,75362,769
14.0,12.0,2,255,7651,390,911000000,6232332,107454
10.0,13.0,1,0,29,528,381000000,50470,515
12.0,1.0,1,0,29,163,117000000,15190,155
1.0,13.0,1,0,29,453,231000000,43414,443
10.0,15.0,1,0,29,159,809000000,15190,155
16.0,10.0,1,0,29,919,998000000,87906,897
9.0,15.0,3,313,9400,213,470000000,69718136,66908
10.0,15.0,1,1,30,121,223000000,11564,118
12.0,13.0,3,276,8304,317,298000000,99550596,95538
14.0,7.0,2,437,13123,241,289000000,118121534,106419
3.0,15.0,3,453,13615,161,864000000,78179374,73339
12.0,2.0,3,447,13421,167,333000000,80217566,75251
17.0,12.0,1,0,0,23,56000000,2156,22
0.0,6.0,2,589,17686,230,311000000,7444818,137867
1.0,11.0,1,0,29,463,228000000,44198,451
11.0,16.0,3,305,9156,340,757000000,111114712,106636
14.0,1.0,1,0,29,53,82000000,4998,51
14.0,14.0,2,300,9016,114,342000000,2077050,31469
3.0,13.0,3,326,9784,65,564000000,26155376,24536
0.0,11.0,2,311,9333,30,716000000,567472,9784
2.0,11.0,1,1,30,398,519000000,38122,389
16.0,6.0,1,0,29,1032,944000000,97510,995
2.0,11.0,1,0,29,108,329000000,10290,105
1.0,16.0,3,223,6701,470,570000000,135434992,129976
0.0,15.0,3,451,13532,163,255000000,78355264,73504
10.0,3.0,2,280,8407,416,55000000,6300828,116682
12.0,15.0,3,450,13526,202,91000000,97348186,91321
12.0,15.0,3,0,0,21,305000000,10854012,10182
14.0,3.0,1,0,29,118,344000000,11270,115
17.0,10.0,2,270,8113,259,49000000,4840674,73331
14.0,10.0,2,279,8378,105,143000000,1811572,31234
15.0,15.0,1,0,29,1191,355000000,135592496,131352
12.0,17.0,1,0,29,951,936000000,91140,930
4.0,16.0,3,279,8392,360,875000000,116078800,111400
10.0,17.0,1,0,29,341,550000000,32634,333
16.0,2.0,1,0,29,561,181000000,135513606,130547
3.0,16.0,1,1,30,833,222000000,79870,815
1.0,11.0,3,451,13538,135,932000000,65690118,61623
14.0,16.0,3,455,13663,110,626000000,53119846,49831
3.0,7.0,2,0,0,23,136000000,393768,7292
3.0,15.0,1,282,8475,441,193000000,122484434,117937
10.0,11.0,2,0,0,4,438000000,2014752,1808
12.0,13.0,3,0,0,17,167000000,5648682,5421
2.0,13.0,3,451,13539,83,960000000,41545218,38973
0.0,15.0,1,305,9168,171,142000000,38743338,37333
16.0,10.0,1,0,29,321,169000000,30674,313
11.0,16.0,3,311,9338,250,748000000,82219010,78905
0.0,16.0,3,288,8641,310,311000000,143838578,134933
2.0,15.0,1,1,30,832,935000000,78302,799
18.0,13.0,3,448,13468,173,191000000,84680908,79438
1.0,11.0,3,0,0,17,57000000,8321196,7806
2.0,11.0,1,0,29,598,480000000,57232,584
13.0,11.0,3,215,6453,177,325000000,50114990,48095
1.0,11.0,3,326,9784,58,370000000,25767352,24172
12.0,15.0,1,303,9095,219,801000000,66527532,63846
3.0,15.0,3,446,13385,221,868000000,106866500,100250
10.0,11.0,3,443,13311,277,149000000,132909946,124681
1.0,13.0,1,0,29,302,925000000,28910,295
9.0,15.0,3,311,9335,333,436000000,108679558,104299
16.0,3.0,1,262,7889,100,986000000,28270502,27131
1.0,11.0,3,305,9168,346,651000000,102557808,98424
18.0,10.0,1,0,29,881,617000000,84280,860
