dst,src,Protocol,pktcount,pktcount,label
16.0,0.0,3,45304,45304,0
16.0,0.0,3,126395,126395,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,10.0,3,90333,90333,0
16.0,0.0,3,45304,45304,0
16.0,10.0,3,90333,90333,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,103866,103866,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,0.0,3,45304,45304,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
16.0,0.0,3,45304,45304,0
15.0,0.0,3,32914,32914,0
16.0,0.0,3,45304,45304,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
